"33ejh","33ejh.rsn","3x3 Eyes: Juuma Houkan"
"hp94","hp94.rsn","Hakunetsu Pro Yakyuu '94: Ganba League 3"
"hpgl","hpgl.rsn","Hakunetsu Pro Yakyuu: Ganba League"
"hro","hro.rsn","Hunt for Red October"
"hs","hs.rsn","Hero Senki"
"hsfr","hsfr.rsn","Honkaku Shougi Fuuunji Ryuuou"
"hsh","hsh.rsn","Hashire Hebereke"
"ht","ht.rsn","Hurricanes Trainer"
"hth2","hth2.rsn","Hat Trick Hero 2"
"hti","hti.rsn","Hit the Ice"
"hu","hu.rsn","Holy Umbrella"
"hulk","hulk.rsn","The Incredible Hulk"
"human","human.rsn","Humans"
"hurr","hurr.rsn","Hurricanes"
"hvbsv","hvbsv.rsn","Hyper V-Ball (Super Volley II)"
"hyir","hyir.rsn","Hyper Iria"
"hyst","hyst.rsn","Hysteria"
"hzkd","hzkd.rsn","Hansei Zarujirou Kun no Daibouken (Spanky's Quest)"
"hzone","hzone.rsn","Hyper Zone"
"icom","icom.rsn","Iron Commando"
"idea","idea.rsn","Idea no Hi"
"igf","igf.rsn","Ignition Factor"
"igoc","igoc.rsn","Igo Club"
"ihrsd","ihrsd.rsn","Itou Hatasu Rokudan no Shougi Dojo"
"ijga","ijga.rsn","Indiana Jones' Greatest Adventures"
"im","im.rsn","Ihatovo Monogatari"
"imp","imp.rsn","Imperium"
"inca","inca.rsn","Incantation"
"ini","ini.rsn","Inindo: Way of the Ninja (Super Inindo: Datou Nobunaga)"
"ins","ins.rsn","Illvanian no Shiro"
"iog","iog.rsn","Illusion of Gaia"
"ipgt","ipgt.rsn","Ippatsu Gyakuten: Keiba Keirin Kyotei"
"is2","is2.rsn","Itadaki Street 2"
"isbv","isbv.rsn","Inazuma Serve da!!"
"isg","isg.rsn","Itchy and Scratchy Game"
"iss","iss.rsn","International Superstar Soccer"
"issdx","issdx.rsn","International Superstar Soccer Deluxe"
"itt","itt.rsn","International Tennis Tour"
"izzy","izzy.rsn","Izzy's Quest for the Olympic Rings"
"jamit","jamit.rsn","Jammit"
"jbook","jbook.rsn","The Jungle Book"
"jboy","jboy.rsn","Jelly Boy"
"jboy2","jboy2.rsn","Jelly Boy 2"
"jbrr","jbrr.rsn","Jaleco Rally Big Run - The Supreme 4WD Challenge"
"jc","jc.rsn","Jaki Crush"
"jcptt","jcptt.rsn","Jimmy Connors Pro Tennis Tour"
"jd","jd.rsn","Judge Dredd"
"jeop","jeop.rsn","Jeopardy!"
"jerry","jerry.rsn","Jerry Boy (Smartball)"
"jets","jets.rsn","Jetsons: Invasion of the Planet Pirates"
"jgk","jgk.rsn","Janyuuki Gokuu Randa"
"jkyo","jkyo.rsn","Jissen Kyotei"
"jle94","jle94.rsn","J League Excite Stage '94"
"jle95","jle95.rsn","J-League Excite Stage '95"
"jlpg","jlpg.rsn","J-League Soccer Prime Goal"
"jlpg2","jlpg2.rsn","J-League Soccer Prime Goal 2"
"jlpg3","jlpg3.rsn","J-League Soccer Prime Goal 3"
"jls95","jls95.rsn","J-League Super Soccer '95"
"jlss","jlss.rsn","J-League Super Soccer (Virtual Soccer)"
"jlwc","jlwc.rsn","Jim Lee's Wild C.A.T.S."
"jm","jm.rsn","Joe and Mac"
"jm2","jm2.rsn","Joe and Mac 2"
"jmahs","jmahs.rsn","Jissen! Mahjong Shinan"
"jmf","jmf.rsn","John Madden Football"
"jmpwr","jmpwr.rsn","Jim Power"
"jms","jms.rsn","Jammes"
"jng","jng.rsn","Jack Nicklaus Golf"
"joho","joho.rsn","HAL's Hole in One Golf"
"jojo","jojo.rsn","Jojo no Kimyou na Bouken"
"jop","jop.rsn","Jikkyou Oshaberi Parodius (Parodius 3)"
"jot","jot.rsn","Jungle no Ojya Tachan"
"jp","jp.rsn","Jurassic Park "
"jp2","jp2.rsn","Jurassic Park 2"
"jph2","jph2.rsn","Jissen Pachinko Hisshouhou! 2"
"jppy3","jppy3.rsn","Jikkyou Powerful Pro Yakyuu 3"
"js","js.rsn","Jutei Senki"
"jst","jst.rsn","Jungle Strike"
"jstcl","jstcl.rsn","Justice League Task Force"
"jumpd","jumpd.rsn","Jumpin' Derby"
"jw2","jw2.rsn","Jungle Wars 2"
"ka","ka.rsn","Kirby's Avalanche"
"kakj","kakj.rsn","King Arthur and the Knights of Justice"
"kan","kan.rsn","BS Gal Kan Bazooka Dai-5-Kan"
"karo","karo.rsn","Kabuki Rocks"
"kaw","kaw.rsn","King Arthur's World"
"kbgg","kbgg.rsn","Kidou Butoden G-Gundam"
"kbly","kbly.rsn","Kablooey"
"kcc","kcc.rsn","Kawasaki Caribbean Challenge"
"kctgg","kctgg.rsn","Kingyo Chuihou! Tobidase Game Gakuen"
"kdb","kdb.rsn","Kunio-Kun no Dodgeball"
"kdc","kdc.rsn","Kirby's Dream Course"
"kdl3","kdl3.rsn","Kirby's Dream Land 3"
"kdy","kdy.rsn","Kenyu Densetsu Yaiba"
"kdz","kdz.rsn","Kishin Douji Zenki"
"kdz2","kdz2.rsn","Kishin Douji Zenki: Denei Raibu"
"kdz3","kdz3.rsn","Kishin Douji Zenki 3"
"keep","keep.rsn","Keeper"
"kesp2","kesp2.rsn","Keiba Eight Special 2"
"kgjb","kgjb.rsn","Ken Griffey Jr. Presents: Major League Baseball"
"khb","khb.rsn","Koi ha Balance - Battle of Lovers"
"khksc","khksc.rsn","Katou Hifumi Kudan Shougi Club"
"ki","ki.rsn","Killer Instinct"
"kiki","kiki.rsn","Kiki Kaikai (Pocky & Rocky)"
"kiki3","kiki3.rsn","Kiki Kaikai 3 (Pocky & Rocky 2)"
"kkbn","kkbn.rsn","Kerokero Keroppi no Bouken Nikki"
"kkk","kkk.rsn","Kirby's Kira Kira Kids"
"kko","kko.rsn","Kishin Korinden Oni"
"kkp","kkp.rsn","Kidou Keisatsu Patlabor"
"kkpm","kkpm.rsn","Kevin Keegan's Player Manager"
"klown","klown.rsn","Kid Klown in Crazy Chase"
"km","km.rsn","King of the Monsters"
"km2","km2.rsn","King of the Monsters 2"
"kmjdo","kmjdo.rsn","Kikuni Masahiko no Jantoushi Dora Ou"
"kmsp","kmsp.rsn","Kindai Mahjong Special"
"kmt","kmt.rsn","Kyuuyaku Megami Tensei"
"knm","knm.rsn","Kouryu no Mimi"
"kno","kno.rsn","Kunio no Oden"
"knoh","knoh.rsn","BS Kirby no Omocha Hako: Baseball"
"knok","knok.rsn","Kirby no Omochabako: Hoshi Kuzushi"
"knt2","knt2.rsn","Kawa no Nushi Tsuri 2"
"kny","kny.rsn","Kamaitachi no Yoru"
"ko","ko.rsn","Kick Off"
"ko3","ko3.rsn","Kick Off 3"
"kod","kod.rsn","The King of Dragons"
"konae","konae.rsn","Konae-Chan no DokiDoki Pengin Kazoku"
"kor","kor.rsn","The King of Rally"
"kotr","kotr.rsn","Knights of the Round"
"kr","kr.rsn","Kamen Rider"
"krmt","krmt.rsn","Kabuki-chou Reach Mahjong Tonpuu Sen"
"krsd","krsd.rsn","Kamen Rider SD: Shutsugeki!! Rider Machine"
"kryk","kryk.rsn","Kouryuuki"
"ksc","ksc.rsn","Kawasaki Superbike Challenge"
"ksfh","ksfh.rsn","Krusty's Super Funhouse"
"ksh","ksh.rsn","Kakinoki Shougi"
"ksn2","ksn2.rsn","Koushien 2"
"ksn3","ksn3.rsn","Koushien 3"
"kss","kss.rsn","Kirby Super Star"
"kstwb","kstwb.rsn","Shigetaka Kashiwagi's Top Water Bassing"
"ksvg","ksvg.rsn","Kidou Senshi V Gundam"
"ktb","ktb.rsn","Shin Nekketsu Kouha: Kunio Tachi no Bannka"
"ktsz","ktsz.rsn","Kaizou Tyoujin Shubibinman Zero"
"kybr","kybr.rsn","Keiba Yosou: Baken Renkinjutsu"
"lag","lag.rsn","Lagoon"
"lah","lah.rsn","Last Action Hero"
"lal","lal.rsn","Live A Live"
"lambo","lambo.rsn","Lamborghini American Challenge"
"lawa","lawa.rsn","La Wares"
"lb3","lb3.rsn","Last Bible 3"
"ldst","ldst.rsn","Lady Stalker"
"leg","leg.rsn","Legend"
"lem","lem.rsn","Lemmings"
"lem2","lem2.rsn","Lemmings 2"
"len","len.rsn","Lethal Enforcers"
"lethw","lethw.rsn","Lethal Weapon"
"lft","lft.rsn","Last Fighter Twin"
"libl","libl.rsn","Libble Rabble"
"lifa","lifa.rsn","Light Fantasy"
"lion","lion.rsn","The Lion King"
"ll","ll.rsn","Lucky Luke"
"lm","lm.rsn","Lord Monarch"
"lmag","lmag.rsn","Little Magic"
"lmas","lmas.rsn","Little Master"
"lmm","lmm.rsn","The Lawnmower Man"
"ln","ln.rsn","Paladin's Quest (Lennus)"
"ln2","ln2.rsn","Lennus 2"
"lod","lod.rsn","Liberty or Death"
"lopa","lopa.rsn","Logos Panic"
"loz3","loz3.rsn","The Legend of Zelda: A Link to the Past"
"lrt","lrt.rsn","Lode Runner Twin"
"ltbb","ltbb.rsn","Looney Tunes Basketball"
"ltul","ltul.rsn","Lester the Unlikely"
"lunch","lunch.rsn","Out to Lunch"
"lupin","lupin.rsn","Lupin the 3rd"
"lvqst","lvqst.rsn","Love Quest"
"m94","m94.rsn","Madden NFL '94"
"m95","m95.rsn","Madden NFL '95"
"m96","m96.rsn","Madden NFL '96"
"m97","m97.rsn","Madden NFL '97"
"m97gb","m97gb.rsn","Madden '97 (Super Gameboy)"
"m98","m98.rsn","Madden NFL '98"
"macs","macs.rsn","M.A.C.S. Basic Rifle Simulator"
"magna","magna.rsn","Magna Braban"
"mahcl","mahcl.rsn","Mahjong Club"
"maj","maj.rsn","Majyuuou"
"majt","majt.rsn","The Mahjong Touhaiden"
"mam","mam.rsn","Madou Monogatari"
"mama","mama.rsn","Makeruna Makendou (Kendo Rage)"
"mama2","mama2.rsn","Makeruna Makendou 2"
"mark","mark.rsn","Mystic Ark"
"marv","marv.rsn","Daffy Duck: The Marvin Missions"
"mask","mask.rsn","The Mask"
"mathb","mathb.rsn","Math Blaster: Episode One"
"maui","maui.rsn","Maui Mallard in Cold Shadow"
"mawa","mawa.rsn","Mario & Wario"
"mazz","mazz.rsn","Mazinger Z"
"mboy","mboy.rsn","Magicboy"
"mc","mc.rsn","Metal Combat: Flacon's Revenge"
"mcdp","mcdp.rsn","Magical Drop"
"mcdp2","mcdp2.rsn","Magical Drop 2"
"mcp","mcp.rsn","Miracle Casino Paradise"
"mcsd","mcsd.rsn","Magic Sword"
"mcwr","mcwr.rsn","Mechwarrior"
"mcwr3","mcwr3.rsn","Mechwarrior 3050"
"mdh","mdh.rsn","Momotarou Dentetsu Happy"
"mdr2","mdr2.rsn","Madara 2"
"mdrs","mdrs.rsn","Youchien Senki Madara Saga"
"mema","mema.rsn","Metal Marines"
"memo","memo.rsn","Metal Morph"
"mg","mg.rsn","Miracle Girls"
"mgp","mgp.rsn","Magical Pop'n "
"mgt","mgt.rsn","Mahjong Gokuu Tenjiku"
"mhj","mhj.rsn","Mohawk and Headphone Jack"
"mhnr","mhnr.rsn","Mahjong Hishouden: Naki no Ryuu"
"mil","mil.rsn","Milandra"
"milk","milk.rsn","BS Dan Dan Belt Conveyor Milk no Maki"
"mim","mim.rsn","Mario is Missing"
"mima","mima.rsn","Micro Machines"
"mima2","mima2.rsn","Micro Machines 2"
"mjcwc","mjcwc.rsn","Michael Jordan: Chaos in the Windy City"
"mjssd","mjssd.rsn","Magic Johnson's Super Slam Dunk"
"mk","mk.rsn","Mortal Kombat"
"mk2","mk2.rsn","Mortal Kombat 2"
"mk3","mk3.rsn","Mortal Kombat 3 (Ultimate Mortal Kombat)"
"mkh","mkh.rsn","Matsumura Kunihiro Den"
"mkmk","mkmk.rsn","Maka Maka"
"mkr","mkr.rsn","Mahou Kishi Reiasu (Magic Knight Rayearth)"
"mlm","mlm.rsn","Mega-Lo-Mania"
"mm","mm.rsn","Mickey Mania: The Timeless Adventures of Mickey Mouse"
"mm2","mm2.rsn","Might and Magic 2 (European Version)"
"mm2j","mm2j.rsn","Might and Magic 2 (Japanese Version)"
"mm3","mm3.rsn","Might and Magic 3"
"mm7","mm7.rsn","Mega Man 7"
"mmax","mmax.rsn","Mighty Max"
"mmax2","mmax2.rsn","Metal Max 2"
"mmaxr","mmaxr.rsn","Metal Max Returns"
"mmf","mmf.rsn","Marko's Magic Football"
"mmgg","mmgg.rsn","Mick & Mack as the Global Gladiators"
"mms","mms.rsn","Megaman Soccer"
"mmx","mmx.rsn","Mega Man X"
"mmx2","mmx2.rsn","Mega Man X2"
"mmx3","mmx3.rsn","Mega Man X3"
"mo2","mo2.rsn","Earthbound (Mother 2)"
"mode","mode.rsn","Modular Escape"
"mon","mon.rsn","Monstania"
"mono","mono.rsn","Monopoly (Western version)"
"mp2","mp2.rsn","Monopoly 2"
"mpjp","mpjp.rsn","Monopoly (Japanese Version)"
"mpm","mpm.rsn","Ms. Pac-Man"
"mpnt","mpnt.rsn","Mario Paint"
"mppp","mppp.rsn","Mahou Poi Poi Poitto!"
"mq","mq.rsn","The Magical Quest starring Mickey Mouse"
"mq2","mq2.rsn","The Magical Quest 2: The Great Circus Mystery"
"mq3","mq3.rsn","The Magical Quest 3"
"mrdo","mrdo.rsn","Mr. Do"
"ms","ms.rsn","Melfand Stories"
"msfr","msfr.rsn","Mary Shelley's Frankenstein"
"msg","msg.rsn","Metal Slader Glory: Director's Cut"
"msp","msp.rsn","Mario's Super Picross"
"mt","mt.rsn","Majin Tensei"
"mt2","mt2.rsn","Majin Tensei 2"
"mtd","mtd.rsn","Maten Densetsu"
"mtm","mtm.rsn","Mario's Time Machine"
"mtma","mtma.rsn","Magical Taruruto Kun"
"mtpvb","mtpvb.rsn","Multi-Play Volleyball"
"muc","muc.rsn","Mickey's Ultimate Challenge"
"mucs","mucs.rsn","Manchester United Championship Soccer"
"mulan","mulan.rsn","Mulan (Super Gameboy)"
"musya","musya.rsn","Gousou Jinrai Densetsu Musya (Musya: Imoto's Saga)"
"mvls","mvls.rsn","Marvelous"
"mw","mw.rsn","Metal Warriors"
"mwk","mwk.rsn","Motoko-chan no Wonder Kitchen"
"myc","myc.rsn","Mystery Circle"
"myss","myss.rsn","Mini Yonku Shining Scorpion"
"n517","n517.rsn","BS Nintendo HP 5-17"
"n531","n531.rsn","BS Nintendo HP 5-31"
"nac","nac.rsn","Nichibutsu Arcade Classics"
"nac2","nac2.rsn","Nichibutsu Arcade Classics 2"
"nasc","nasc.rsn","NBA All-Star Challenge"
"nawo","nawo.rsn","Naruhodo The World"
"nba97","nba97.rsn","NBA Live '97"
"nba98","nba98.rsn","NBA Live '98"
"nbagg","nbagg.rsn","NBA Give 'N Go (NBA Jikkyou Basket Winning Dunk)"
"nbah","nbah.rsn","NBA Hang Time"
"nbaj","nbaj.rsn","NBA Jam"
"nbb","nbb.rsn","Nobunaga no Yabou Busyo Fuunroku"
"nbh","nbh.rsn","Nobunaga no Yabou Haouden"
"nbt","nbt.rsn","Nobunaga no Yabou Tenshouki"
"nbz","nbz.rsn","Nobunaga no Yabou Zenkokuban (Nobunaga's Ambition)"
"ncaaf","ncaaf.rsn","NCAA Football"
"ncab","ncab.rsn","NCAA Basketball"
"ncb","ncb.rsn","Natsuki Crisis Battle"
"ne","ne.rsn","No Escape"
"neu","neu.rsn","Neugier"
"nf","nf.rsn","Nosferatu"
"nfb","nfb.rsn","NFL Football"
"nffb","nffb.rsn","NCAA Final Four Basketball"
"ngt","ngt.rsn","Ninja Gaiden Triology"
"nhic","nhic.rsn","Newman-Haas Indy Car Racing"
"nhlsc","nhlsc.rsn","NHL Stanley Cup"
"nibus","nibus.rsn","Nightmare Busters (Beta)"
"nigel","nigel.rsn","Nigel Mansell's World Championship Racing"
"nikk","nikk.rsn","Nontan to Issyo Kuru Kuru Puzzle"
"njte","njte.rsn","NBA Jam Tournament Edition"
"nl","nl.rsn","Nage Libre"
"nnk","nnk.rsn","Asameshimae Nyanko"
"npmp","npmp.rsn","Nintendo Power Menu Program"
"nqc","nqc.rsn","NFL Quarterback Club"
"nqc96","nqc96.rsn","NFL Quarterback Club '96"
"nqr","nqr.rsn","Network Q Rally"
"nrbb","nrbb.rsn","Nolan Ryan's Baseball"
"nspk","nspk.rsn","Nangoku Syonen Papuwa Kun"
"ntbh","ntbh.rsn","Nekketsu Tairiku Burning Heroes"
"nump","nump.rsn","Numbers Paradise"
"nutz","nutz.rsn","Mr. Nutz"
"nwd","nwd.rsn","N-Warp Daisakusen"
"ny","ny.rsn","New Yatterman"
"oampg","oampg.rsn","Okamoto Ayako to Match Play Golf"
"obbf","obbf.rsn","Ohmono Black Bass Fishing - Jinzouko Hen (Mark Davis' The Fishing Master)"
"obg","obg.rsn","Out of Bounds Golf"
"obi","obi.rsn","Obitus"
"odanb","odanb.rsn","Oda Nobunaga: Haou no Gundan"
"oelo","oelo.rsn","Oekaki Logic"
"oeptv","oeptv.rsn","Operation Europe: Path to Victory"
"off","off.rsn","Super Off Road"
"ogre","ogre.rsn","Ogre Battle"
"ogs","ogs.rsn","Otogirisou"
"okutg","okutg.rsn","Super Okuman Tyoja Game"
"olb","olb.rsn","Operation Logic Bomb"
"olim","olim.rsn","Olivia no Mystery "
"onc","onc.rsn","Otoboke Ninja Colosseum"
"ool","ool.rsn","O-chan no Oekaki Logic"
"oozta","oozta.rsn","Ozumou Tamashii"
"osbs","osbs.rsn","Oraga Land Shusai"
"oscar","oscar.rsn","Oscar"
"osg","osg.rsn","Olympic Summer Games"
"osggb","osggb.rsn","Olympic Summer Games (Super Gameboy)"
"othnd","othnd.rsn","Operation Thunderbolt"
"othw","othw.rsn","Othello World"
"otk","otk.rsn","Ongaku Tukuoolu Kanadeeru"
"otld","otld.rsn","Outlander"
"paca","paca.rsn","Pac-Attack"
"pacm2","pacm2.rsn","Pac-Man 2: The New Adventures"
"page","page.rsn","Pagemaster"
"pam","pam.rsn","Packy and Marlon"
"pbgl","pbgl.rsn","Pebble Beach Golf Links"
"pd","pd.rsn","Parodius Da!"
"pdw","pdw.rsn","Pirates of Dark Water"
"peye","peye.rsn","Popeye: Ijiwaru Majo Sea Hag No Maki"
"pfma","pfma.rsn","Pitfall: The Mayan Adventure"
"pga96","pga96.rsn","PGA Tour '96"
"pgae","pgae.rsn","PGA European Tour"
"pgat","pgat.rsn","PGA Tour Golf"
"phlnx","phlnx.rsn","Phalanx"
"pi","pi.rsn","Power Instinct"
"piece","piece.rsn","Pieces (Jigsaw Party)"
"piggs","piggs.rsn","Power Piggs of the Dark Ages"
"piki","piki.rsn","Pikiinya!"
"pink","pink.rsn","Pink Goes to Hollywood"
"pino","pino.rsn","Pinocchio"
"pipe","pipe.rsn","Pipe Dream"
"pkn","pkn.rsn","Poko-Nyan!"
"plok","plok.rsn","Plok!"
"plr","plr.rsn","Power Lode Runner"
"pman","pman.rsn","Prehistorik Man"
"pmh","pmh.rsn","Pachinko Maruhi Hisshouhou"
"pmk","pmk.rsn","Pro Mahjong Kiwame"
"pmk2","pmk2.rsn","Pro Mahjong Kiwame 2"
"pmk3","pmk3.rsn","Pro Mahjong Kiwame 3"
"pmkgb","pmkgb.rsn","Pro Mahjong Kiwame GB (Super Gameboy)"
"pms","pms.rsn","Parlor! Mini series (BGM Compilation)"
"pmv","pmv.rsn","Power Moves"
"pns","pns.rsn","Pop'n Smash!!"
"pnt","pnt.rsn","Pac-in-Time"
"pntb","pntb.rsn","Pop 'n' Twinbee"
"pnyd","pnyd.rsn","Poko-Nyan! Yume no Daibouken (Super Gameboy)"
"pnyw","pnyw.rsn","Panic in Nakayoshi World"
"poca","poca.rsn","Pocahontas (Super Gameboy)"
"poke","poke.rsn","BS Pokekame Magajin"
"pop","pop.rsn","Prince of Persia"
"pop2","pop2.rsn","Prince of Persia 2"
"popfm","popfm.rsn","Popful Mail"
"poth","poth.rsn","Power of the Hired"
"pow94","pow94.rsn","Jikkyou Powerful Pro Yakyuu '94"
"powdr","powdr.rsn","Power Drive"
"pp","pp.rsn","Kyouraku Sanyou Toyomaru Parlor Parlor!"
"pp2","pp2.rsn","Kyouraku Sanyou Toyomaru Daiichi Maruhon Parlor Parlor! 2"
"pp3","pp3.rsn","Kyouraku Sanyou Toyomaru Okumura Taiyou Parlor Parlor! 3"
"pp4","pp4.rsn","Kyouraku Sanyou Toyomaru Okumura Daiichi Maruhon Parlor Parlor! 4 CR"
"pp5","pp5.rsn","Kyouraku Sanyou Maruhon Parlor Parlor! 5"
"pph","pph.rsn","Popoitto Hebereke"
"pphh","pphh.rsn","Porky Pig's Haunted Holiday"
"ppl","ppl.rsn","Populous"
"ppnw","ppnw.rsn","Poi Poi Ninja World"
"pr","pr.rsn","Power Rangers"
"prage","prage.rsn","Primal Rage"
"prfe","prfe.rsn","Power Rangers: The Fighting Edition"
"prime","prime.rsn","Prime"
"prmn","prmn.rsn","Princess Minerva"
"prmv","prmv.rsn","Mighty Morphin' Power Rangers: The Movie"
"proq","proq.rsn","Pro Quarterback"
"prt","prt.rsn","Pachinko Renchan Tengoku: Super CR Special"
"prz","prz.rsn","Power Rangers Zeo - Battle Racers"
"psfx","psfx.rsn","Power Slide FX"
"psh","psh.rsn","Pro Sport Hockey"
"psq","psq.rsn","Putty Squad"
"psycho","psycho.rsn","Psycho Dream"
"ptss","ptss.rsn","Pachinko Tetsujin: Shichiban Shoubu"
"ptws","ptws.rsn","Pilotwings"
"pubo","pubo.rsn","Puzzle Bobble (Bust-A-Move)"
"push","push.rsn","Pushover"
"pwrmg","pwrmg.rsn","Powermonger"
"pynps","pynps.rsn","Pro Yakyuu Nettou Puzzle Stadium"
"qb3","qb3.rsn","Q*bert 3"
"r2","r2.rsn","Rendering Ranger"
"raced","raced.rsn","Race Drivin'"
"ramp","ramp.rsn","Rampart"
"rapbb","rapbb.rsn","Rap Basketball"
"rarm","rarm.rsn","Ruin Arm"
"rbb","rbb.rsn","Riddick Bowe Boxing"
"rbi","rbi.rsn","Super RBI Baseball"
"rbs","rbs.rsn","Rushing Beat Syura (Peace Keepers)"
"rckf","rckf.rsn","Rockfall"
"rcmb","rcmb.rsn","Roger Clemens' MVP Baseball"
"rcop3","rcop3.rsn","Robocop 3"
"rd","rd.rsn","Radical Dreamers"
"rdn","rdn.rsn","Raiden Densetsu"
"realm","realm.rsn","Realm"
"revx","revx.rsn","Revolution X"
"rf","rf.rsn","Rockman and Forte (Megaman and Bass)"
"rhdz","rhdz.rsn","Ryukiheidan Danzarubu"
"rhi95","rhi95.rsn","RHI Roller Hockey '95"
"ring","ring.rsn","Boxing Legends of the Ring"
"rival","rival.rsn","Rival Turf"
"rj","rj.rsn","Rap Jam"
"rjc","rjc.rsn","Rejoice: Aretha Oukoku no Kanata"
"rk","rk.rsn","Riverse Kids"
"rkdb","rkdb.rsn","Rokudenashi Blues"
"rmath","rmath.rsn","Ranma 1/2: Akaneko-dan Teki Hihou"
"rmbr","rmbr.rsn","Ranma 1/2: Bakuretsu Rantouhen"
"rmcg","rmcg.rsn","Ranma Nibunnoichi - Chonai Gekitou Hen"
"rmk","rmk.rsn","RPG Maker"
"rmk2","rmk2.rsn","RPG Maker 2"
"rml","rml.rsn","Rocko's Modern Life: Spunky's Dangerous Day"
"rmoj","rmoj.rsn","Ranma Nibunnoichi - Ougi Jaanken"
"rnh","rnh.rsn","Rudra no Hihou"
"rnk","rnk.rsn","Art of Fighting"
"rnk2","rnk2.rsn","Ryuuko no Ken 2 (Art of Fighting 2)"
"rnsb","rnsb.rsn","Ren & Stimpy: Buckeroo$"
"rodd","rodd.rsn","Return of Double Dragon"
"rotr","rotr.rsn","Rise of the Robots"
"rpmr","rpmr.rsn","RPM Racing"
"rr4w","rr4w.rsn","Road Riot 4WD"
"rres","rres.rsn","Rex Ronan"
"rrex","rrex.rsn","Radical Rex"
"rrod","rrod.rsn","Rocky Rodent"
"rrr","rrr.rsn","Rock 'n' Roll Racing"
"rs","rs.rsn","Romancing SaGa"
"rs2","rs2.rsn","Romancing SaGa 2"
"rs3","rs3.rsn","Romancing SaGa 3"
"rstw","rstw.rsn","Ren and Stimpy: Time Warp"
"rt","rt.rsn","Rocketeer"
"rt3","rt3.rsn","R-Type 3"
"rtk2","rtk2.rsn","Super Romance of the Three Kingdoms 2 (Super Sangokushi 2)"
"rtk3","rtk3.rsn","Sangokushi 3 (Romance of the Three Kingdoms 3)"
"rtk4","rtk4.rsn","Sangokushi 4 (Romance of the Three Kingdoms 4)"
"rtrek","rtrek.rsn","Robotrek"
"run","run.rsn","Run Saber"
"rvt","rvt.rsn","Robocop vs. the Terminator"
"s8h","s8h.rsn","Suzuka 8 Hours"
"sa","sa.rsn","Super Aleste (Space Megaforce)"
"sace","sace.rsn","Space Ace"
"sad","sad.rsn","Super Air Diver"
"sad2","sad2.rsn","Super Air Diver 2"
"saf","saf.rsn","Skipp and Friends"
"sai","sai.rsn","Adventure Island"
"sai2","sai2.rsn","Super Adventure Island 2"
"same","same.rsn","Same Game"
"samu","samu.rsn","Samurai Shodown"
"sana2","sana2.rsn","Sansara Naga 2"
"sans","sans.rsn","Sanrio Shanghai"
"sate","sate.rsn","BS SatesupuDX 4"
"saxar","saxar.rsn","Spiderman and the X-Men: Arcade's Revenge"
"sb","sb.rsn","Soul Blazer"
"sb2","sb2.rsn","Super Big 2"
"sb20","sb20.rsn","Super Baseball 2020"
"sbb","sbb.rsn","Super Buster Bros."
"sbb1","sbb1.rsn","Super Black Bass"
"sbb2","sbb2.rsn","Super Black Bass 2 (Bassin's Black Bass)"
"sbc","sbc.rsn","Shien: The Blade Chaser (Shien's Revenge)"
"sbf2","sbf2.rsn","Super Back to the Future 2"
"sbk","sbk.rsn","Super Bikkuriman"
"sbl","sbl.rsn","Super Bases Loaded"
"sbl2","sbl2.rsn","Super Bases Loaded 2"
"sbl3","sbl3.rsn","Super Bases Loaded 3"
"sblm","sblm.rsn","Sonic Blastman"
"sblm2","sblm2.rsn","Sonic Blastman 2"
"sbm","sbm.rsn","Super Bomberman"
"sbm2","sbm2.rsn","Super Bomberman 2"
"sbm3","sbm3.rsn","Super Bomberman 3"
"sbm4","sbm4.rsn","Super Bomberman 4"
"sbm5","sbm5.rsn","Super Bomberman 5"
"sbn","sbn.rsn","The Simpsons: Bart's Nightmare"
