"33ejh","33ejh.rsn","3x3 Eyes: Juuma Houkan"
"sbom","sbom.rsn","Super Bombliss"
"sbowl","sbowl.rsn","Super Bowling"
"sbr2","sbr2.rsn","Syutoko Battle Racing 2"
"sbs","sbs.rsn","Super Battleship"
"sbtk","sbtk.rsn","Super Battletank"
"sbtk2","sbtk2.rsn","Super Battletank 2"
"sbup","sbup.rsn","Super Batter Up"
"sc","sc.rsn","Sim City"
"scas2","scas2.rsn","Super Casino 2"
"scd","scd.rsn","Scooby Doo Mysteries"
"schq","schq.rsn","Super Chase H.Q."
"sck","sck.rsn","Shin Chou Kouki"
"scme","scme.rsn","Super Conflict: The Mideast"
"scp","scp.rsn","Super Caesar's Palace"
"scv4","scv4.rsn","Super Castlevania 4"
"sd2","sd2.rsn","Secret of Mana"
"sd3","sd3.rsn","Seiken Densetsu 3"
"sdd","sdd.rsn","Super Double Dragon"
"sdf1g","sdf1g.rsn","SD F-1 Grand Prix"
"sdg2","sdg2.rsn","SD Gundam 2"
"sdgb","sdgb.rsn","SD Great Battle"
"sdgg","sdgg.rsn","SD Gundam Gaiden: Knight Gundam Monogatari Ooinaru Isan"
"sdgg2","sdgg2.rsn","SD Gundam Gaiden 2: Entaku no Kishi"
"sdggn","sdggn.rsn","SD Gundam G-Next"
"sdggx","sdggx.rsn","SD Gundam GX"
"sdgpf","sdgpf.rsn","SD Gundam Power Formation Puzzle"
"sdgv","sdgv.rsn","SD Kidou Senshi Gundam V"
"sdgx","sdgx.rsn","SD Gundam X: Super Gachapon World"
"sdhk","sdhk.rsn","SD Hiryu no Ken"
"sdmc","sdmc.rsn","Sword Maniac"
"sdo","sdo.rsn","Super Drift Out"
"sdpf","sdpf.rsn","Seifuku Densetsu - Pretty Fighter"
"sdub","sdub.rsn","SD Ultra Battle"
"sduns","sduns.rsn","Super Dunk Star"
"se","se.rsn","Sim Earth"
"sens","sens.rsn","Sensible Soccer"
"sesb","sesb.rsn","Super Star Wars: The Empire Strikes Back"
"sf","sf.rsn","Star Fox"
"sf1c","sf1c.rsn","Super F1 Circus"
"sf1h","sf1h.rsn","Super F1 Hero"
"sf2","sf2.rsn","Street Fighter 2"
"sf2t","sf2t.rsn","Street Fighter 2 Turbo"
"sfa2","sfa2.rsn","Street Fighter Alpha 2"
"sfb","sfb.rsn","Space Football"
"sfc","sfc.rsn","Super Family Circuit"
"sfcb","sfcb.rsn","Super Famicom Box BIOS"
"sfcw","sfcw.rsn","Super Famicom Wars"
"sff","sff.rsn","Sankyou Fever Fever!"
"sfg","sfg.rsn","Super Family Gerende"
"sfmt","sfmt.rsn","Super Final Match Tennis"
"sfpw","sfpw.rsn","Super Fire Pro Wrestling"
"sfs","sfs.rsn","Super Formation Soccer (Super Soccer)"
"sfs2","sfs2.rsn","Super Formation Soccer 2"
"sfs94","sfs94.rsn","Super Formation Soccer '94"
"sfs95","sfs95.rsn","Super Formation Soccer '95"
"sfs96","sfs96.rsn","Super Formation Soccer '96"
"sft","sft.rsn","Super Family Tennis"
"sftr","sftr.rsn","Starfield Trainer"
"sfx2","sfx2.rsn","Star Fox 2 (never released to public)"
"sg10g","sg10g.rsn","St. Giga 10gatsu Gou"
"sg3","sg3.rsn","The Shinri Game 3"
"sgate","sgate.rsn","Stargate"
"sgb","sgb.rsn","Super Gameboy"
"sgb2","sgb2.rsn","Super Gameboy 2"
"sgd","sgd.rsn","Sengoku Denshou"
"sggb","sggb.rsn","Speedy Gonzalez in Los Gatos Banditos"
"sgh","sgh.rsn","Sugoi Hebereke"
"sgj2","sgj2.rsn","Super Genjin 2"
"sgm","sgm.rsn","Same Game Mario"
"sgn","sgn.rsn","Super Gomoku Narabe Renju"
"sgng","sgng.rsn","Super Ghouls 'n' Ghosts"
"sgo","sgo.rsn","Super Gussun Oyoyo"
"sgo2","sgo2.rsn","Super Gussun Oyoyo 2"
"sgoal","sgoal.rsn","Super Goal!"
"sgod","sgod.rsn","Super Godzilla"
"sh94","sh94.rsn","Super Hockey '94"
"sh95","sh95.rsn","Street Hockey '95"
"shad","shad.rsn","The Shadow"
"shaq","shaq.rsn","Shaq Fu"
"shas","shas.rsn","Shonen Ashibe"
"shed","shed.rsn","Shiki Eiyuu Den: Jinryuu Densetsu"
"shg","shg.rsn","Shanghai: Banri no Tyojyo ~ The Great Wall"
"shg2","shg2.rsn","Shanghai 2: Dragon's Eye"
"shgc","shgc.rsn","Shougi Club"
"shgfk","shgfk.rsn","Shougi Fuurinkazan"
"shi","shi.rsn","Super High Impact"
"shod","shod.rsn","Shinseiki Odysselya"
"shod2","shod2.rsn","Shinseiki Odysselya 2"
"shr","shr.rsn","Shadowrun"
"shsa","shsa.rsn","Shougi Saikyou"
"shuso","shuso.rsn","Sailor Moon Super S: Zenin Sanka!! Shuyaku Soudatsusen"
"si","si.rsn","Space Invaders"
"sic","sic.rsn","Super International Cricket"
"sicfb","sicfb.rsn","Sports Illustrated Championship Football and Baseball"
"sidep","sidep.rsn","Side Pocket"
"sima","sima.rsn","SimAnt"
"sindc","sindc.rsn","Super Indy Champ"
"sis","sis.rsn","Shin Ikkaku Senkin"
"sisgb","sisgb.rsn","Space Invaders (Super Game Boy)"
"sjp","sjp.rsn","Super James Pond "
"sjp2","sjp2.rsn","Super James Pond 2"
"sjp3","sjp3.rsn","Super James Pond 3"
"sk","sk.rsn","SWAT Kats"
"skab","skab.rsn","Sougou Kakutougi Astral Bout"
"skab2","skab2.rsn","Sougou Kakutougi Astral Bout 2: The Total Fighters"
"skab3","skab3.rsn","Astral Bout 3"
"skb","skb.rsn","Skyblazer"
"skh","skh.rsn","Sengo Kuno Hasha - Tenka Fubu heno Michi"
"skhs","skhs.rsn","Super Kyuukyoku Harikiri Stadium"
"skjg","skjg.rsn","Sk"
"skyin","skyin.rsn","Super Koukou Yakyuu: Ikkyuu Nyuukon"
"slap","slap.rsn","Super Slapshot"
"slay","slay.rsn","Slayers"
"sloop","sloop.rsn","Super Loopz"
"sm","sm.rsn","Super Metroid"
"smadc","smadc.rsn","Super Mad Champ"
"smas","smas.rsn","Super Mario All-Stars"
"smbb","smbb.rsn","Seijuu Maden - Beasts & Blades"
"smd","smd.rsn","Shin Momotarou Densetsu"
"smdd","smdd.rsn","Super Momotarou Dentetsu DX"
"smeb","smeb.rsn","Super Mario Excitebike"
"smffp","smffp.rsn","Sailor Moon Super S: Fuwa Fuwa Panic"
"smk","smk.rsn","Super Mario Kart"
"smlf","smlf.rsn","Spiderman: Lethal Foes"
"smoon","smoon.rsn","Sailor Moon: Another Story"
"smph","smph.rsn","Super Morph"
"smr","smr.rsn","Super Mario RPG"
"smsh","smsh.rsn","Shodan Morita Shougi"
"smsjr","smsjr.rsn","Bishoujo Senshi Sailormoon S: Jougai Rantou"
"smsk","smsk.rsn","Sailor Moon S: Kurukkurin"
"smso","smso.rsn","Small Soldiers (Super Gameboy)"
"smspo","smspo.rsn","Bishoujo Senshi Sailormoon S: Kondoha Puzzle de Oshiokiyo!"
"smsv","smsv.rsn","Shooting Macross: Scrambled Valkyrie"
"smt","smt.rsn","Shin Megami Tensei"
"smt2","smt2.rsn","Shin Megami Tensei 2"
"smti","smti.rsn","Shin Megami Tensei: If..."
"smurf","smurf.rsn","The Smurfs"
"smurf2","smurf2.rsn","The Smurfs 2"
"smw","smw.rsn","Super Mario World"
"snb","snb.rsn","Super Ninja Boy"
"snbb","snbb.rsn","Sporting News Baseball"
"snbt","snbt.rsn","Mecarobot Golf"
"snc","snc.rsn","Snoopy Concert"
"sngks","sngks.rsn","Super Sangokushi (Super Romance of the Three Kingdoms)"
"snk","snk.rsn","Super Ninja Kun"
"snkk","snkk.rsn","Shodai Nekketsu Kouha Kunio-Kun"
"sno","sno.rsn","Super Naxat Open"
"snpw","snpw.rsn","Shin Nippon Pro Wrestling: Chou Senshi in Tokyo Dome"
"sns","sns.rsn","Shonen Ninja Sasuke"
"snsm","snsm.rsn","Saturday Night Slam Masters"
"snspm","snspm.rsn","Shodankurai Nintei Shodan Pro Mahjong"
"snt","snt.rsn","Sound Novel Tsukuru"
"snw94","snw94.rsn","Shin Nihon Pro Wrestling '94"
"snz","snz.rsn","Super Nazo Puyo - Rulue no Roux"
"snz2","snz2.rsn","Super Nazo Puyo 2 - Rulue no Tetsuwan Hanjyou Ki"
"so","so.rsn","Star Ocean"
"soe","soe.rsn","Secret of Evermore"
"sof","sof.rsn","Soldiers of Fortune"
"sokid","sokid.rsn","Soccer Kid"
"solid","solid.rsn","Solid Runner"
"son","son.rsn","Heisei Shin Onigashima"
"sond","sond.rsn","Super Oozumou Netsusen Daiichiban"
"song","song.rsn","Song Master"
"sortb","sortb.rsn","Super Off Road: The Baja"
"sos","sos.rsn","S.O.S."
"sosw","sosw.rsn","Sink or Swim"
"sotb","sotb.rsn","Shadow of the Beast"
"sots","sots.rsn","Tecmo Secret of the Stars"
"soulb","soulb.rsn","Soul Blade (Pirate)"
"sp","sp.rsn","Bishoujo Janshi Suuchiipai"
"sp2","sp2.rsn","Super Puyo Puyo 2"
"sp2r","sp2r.rsn","Super Puyo Puyo 2 Remix"
"spach","spach.rsn","Super Pachinko"
"spaf","spaf.rsn","Super Play Action Football"
"spark","spark.rsn","Sparkster"
"spata","spata.rsn","Super Pachinko Taisen"
"spb2","spb2.rsn","Super Professional Baseball 2"
"spbtm","spbtm.rsn","Super Pinball: Behind the Mask"
"spbw","spbw.rsn","Super Bomberman - Panic Bomber W"
"spc","spc.rsn","Spellcraft"
"spdz","spdz.rsn","Spindizzy Worlds"
"spec","spec.rsn","Spectre"
"speed","speed.rsn","Speed Racer"
"spir","spir.rsn","Spirou"
"spl","spl.rsn","Super Power League"
"spl2","spl2.rsn","Super Power League 2"
"spl3","spl3.rsn","Super Power League 3"
"spl4","spl4.rsn","Super Power League 4"
"spm","spm.rsn","Spider-Man"
"spn","spn.rsn","Supapoon"
"spndx","spndx.rsn","Supapoon DX"
"spo","spo.rsn","Super Punch-Out!!"
"spp","spp.rsn","Super Puyo Puyo"
"sprp","sprp.rsn","Spriggan Powered"
"spt","spt.rsn","Super Putty"
"spw","spw.rsn","Spark World"
"spwn","spwn.rsn","Spawn"
"sqdsv","sqdsv.rsn","SeaQuest DSV"
"srace","srace.rsn","Street Racer"
"srb","srb.rsn","Super Royal Blood (Gemfire)"
"srmh","srmh.rsn","Saibara Rieko no Mahjong Hourouki"
"srt","srt.rsn","Super R-Type"
"srt3","srt3.rsn","Super Robot Taisen 3"
"srt4","srt4.rsn","Super Robot Taisen 4"
"srte","srte.rsn","Super Robot Taisen EX"
"srtg","srtg.rsn","Super Robot Taisen Gaiden: Masoukishin - The Lord of Elemental"
"srtj","srtj.rsn","Super Star Wars: Return of the Jedi"
"srtls","srtls.rsn","Shiroi Ring he: Twinkle Little Star"
"ss2","ss2.rsn","Silva Saga 2"
"ss6","ss6.rsn","Super Scope 6"
"ssc","ssc.rsn","Super Soccer Champ"
"ssds","ssds.rsn","Shin SD Sengokuden: Daishougun Retsuden"
"sse","sse.rsn","Super Strike Eagle"
"sse2e","sse2e.rsn","Sterling Sharpe: End 2 End"
"ssf2","ssf2.rsn","Super Street Fighter 2"
"sshg","sshg.rsn","Super Shougi"
"sshg2","sshg2.rsn","Super Shougi 2"
"sshg3","sshg3.rsn","Super Shougi 3"
"sshgc","sshgc.rsn","Shin Shougi Club"
"ssitfo","ssitfo.rsn","Steven Seagal is the Final Option"
"sslsa","sslsa.rsn","Shijou Saikyou League Serie A: Ace Striker"
"ssnqs","ssnqs.rsn","Shijou Saikyou no Quiz Ou Kettei Sen Super"
"ssou","ssou.rsn","Super Soukoban"
"ssrd","ssrd.rsn","Sunset Riders"
"sssm","sssm.rsn","Saikousoku Shikou Shougi Mahjong"
"ssta","ssta.rsn","Super Stadium"
"sstbs","sstbs.rsn","Tenbu Spirits"
"ssw","ssw.rsn","Super Star Wars"
"sswap","sswap.rsn","BS Sousa Sentai Wappers"
"st2","st2.rsn","Super Tetris 2 + Bombliss"
"st2l","st2l.rsn","Super Tetris 2 + Bombliss Limited Edition"
"st3","st3.rsn","Super Tetris 3"
"stc","stc.rsn","Super Trump Collection"
"sten","sten.rsn","Super Tennis"
"stf","stf.rsn","Super Tekkyu Fight!"
"stg","stg.rsn","Strike Gunner STG"
"sth","sth.rsn","Sutte Hakkun"
"sti","sti.rsn","Super Troll Islands"
"stl","stl.rsn","Stealth"
"stn","stn.rsn","Star Trek: The Next Generation"
"stone","stone.rsn","Stone Protectors"
"strc","strc.rsn","Street Combat"
"strkr","strkr.rsn","Striker"
"sts","sts.rsn","Special Tee Shot"
"stsfa","stsfa.rsn","Star Trek: Starfleet Academy: Ship Bridge Simulator"
"stsh","stsh.rsn","Super Tsume Shougi 1000"
"stv","stv.rsn","Super Smash TV"
"sub2","sub2.rsn","Super Ultra Baseball 2"
"suco","suco.rsn","Super Copa"
"sudy","sudy.rsn","Super Double Yakuman"
"sudy2","sudy2.rsn","Super Double Yakuman 2"
"sufa","sufa.rsn","Super Famista"
"sufa2","sufa2.rsn","Super Famista 2"
"suftu","suftu.rsn","Sufami Turbo BIOS"
"suha","suha.rsn","Super Hanafuda"
"sumj","sumj.rsn","Super Mahjong"
"sumj2","sumj2.rsn","Super Mahjong 2"
"sumj3","sumj3.rsn","Super Mahjong 3"
"sumt","sumt.rsn","Super Mahjong Taikai"
"suno","suno.rsn","Super Uno"
"suso","suso.rsn","Super Solitaire"
"sv4","sv4.rsn","Super Valis 4"
"svb","svb.rsn","Onizuka Katsuya Super Virtual Boxing"
"svg","svg.rsn","Super Variable Geo"
"svln","svln.rsn","Syvalion"
"svmc","svmc.rsn","Spider-Man and Venom: Maximum Carnage"
"svsa","svsa.rsn","Spider-Man & Venom: Separation Anxiety"
"sw","sw.rsn","Sonic Wings"
"swc","swc.rsn","Super Wild Card"
"swdg","swdg.rsn","Super Widget"
"swhea","swhea.rsn","Snow White: Happily Ever After"
"swiv","swiv.rsn","Super Swiv"
"sws","sws.rsn","Sword World SFC"
"sws2","sws2.rsn","Sword World SFC 2"
"swsb","swsb.rsn","Sanrio World Smash Ball"
"syaro","syaro.rsn","Sutobasu Yarou Show: 3 on 3 Basketball"
"syl","syl.rsn","Shoot Your Load"
"syn","syn.rsn","Syndicate"
"syobo","syobo.rsn","Super Syobo Syobo CG Collection"
"syti","syti.rsn","Shounin yo, Taishi o Idake!!"
"sz","sz.rsn","Super Zugan"
"sz2","sz2.rsn","Super Zugan 2"
"t2jd","t2jd.rsn","Terminator 2: Judgment Day"
"t2tag","t2tag.rsn","T2: The Arcade Game"
"ta","ta.rsn","Tetris Attack (Panel de Pon)"
"tamo","tamo.rsn","Waratte Iitomo! Tamorinpic"
"tanf","tanf.rsn","Troy Aikman NFL Football"
"tarm","tarm.rsn","Tarot Mystery"
"taso","taso.rsn","Tactical Soccer"
"taz","taz.rsn","Taz-Mania"
"tb2","tb2.rsn","Thoroughbred Breeder 2"
"tb3","tb3.rsn","Thoroughbred Breeder 3"
"tbat","tbat.rsn","Tetris Battle Gaiden"
"tbgmd","tbgmd.rsn","Table Game Daishuugou!"
"tbnfz","tbnfz.rsn","Turn and Burn: No Fly Zone"
"tcar","tcar.rsn","Total Carnage"
"tcx","tcx.rsn","Treasure Conflix"
"tdl","tdl.rsn","Mickey no Tokyo Disneyland Daibouken"
"tdm","tdm.rsn","Tetris and Dr. Mario"
"tdsp","tdsp.rsn","Thunder Spirits"
"temu","temu.rsn","Tenchi Muyo"
"test","test.rsn","SNES Test Program"
"tet2","tet2.rsn","Tetris 2"
"tg","tg.rsn","Top Gear"
"tg2","tg2.rsn","Top Gear 2"
"tg3","tg3.rsn","Top Gear 3000"
"thbi","thbi.rsn","Thunderbirds"
"thead","thead.rsn","Tinhead"
"thg","thg.rsn","Treasure Hunter G"
"tick","tick.rsn","The Tick"
"tii","tii.rsn","Taikyoku Igo Idaten"
"timec","timec.rsn","Time Cop"
"tit","tit.rsn","Teenage Mutant Ninja Turtles IV: Turtles in Time"
"tj","tj.rsn","Tom and Jerry"
"tkd","tkd.rsn","Taekwon-Do"
"tkj","tkj.rsn","Tekichuu Keiba Juku"
"tkmm","tkmm.rsn","Tokimeki Memorial"
"tko","tko.rsn","TKO Super Championship Boxing"
"tkrm","tkrm.rsn","Tokoro's Mahjong"
"tkrsd","tkrsd.rsn","Taikou Rissiden"
"tl","tl.rsn","True Lies"
"tlb","tlb.rsn","The Last Battle"
"tlm","tlm.rsn","Tottemo! Lucky Man"
"tm2","tm2.rsn","Top Management 2"
"tmkit","tmkit.rsn","Takemiya Masaki Kudan no Igo Taishou"
"tmnt5","tmnt5.rsn","Teenage Mutant Ninja Turtles: Tournament Fighters"
"tmss","tmss.rsn","Tony Meola's Sidekicks Soccer"
"tnd","tnd.rsn","Torneco no Daibouken - Fushigi no Dungeon"
"tnk","tnk.rsn","Teitoku no Ketsudan"
"tnk2","tnk2.rsn","Teitoku no Ketsudan 2"
"tnu","tnu.rsn","Tenshi no Uta: Shiroki Tsubasa no Inori"
"tnw","tnw.rsn","The Ninja Warriors"
"to","to.rsn","Tactics Ogre"
"top","top.rsn","Tales of Phantasia"
"torsh","torsh.rsn","Tsuppari Oozumo Rissin Shusse Hen"
"totf","totf.rsn","Total Football"
"toys","toys.rsn","Toys"
"tp","tp.rsn","Theme Park"
"tpjg","tpjg.rsn","Timon and Pumbaa's Jungle Games"
"trba","trba.rsn","Twinbee: Rainbow Bell Adventure"
"trin","trin.rsn","Trinea"
"trod","trod.rsn","Troddlers"
"ts","ts.rsn","Terranigma"
"tsb","tsb.rsn","Tecmo Super Baseball"
"tsbw","tsbw.rsn","Tecmo Super Bowl"
"tsg","tsg.rsn","The Shinri Game"
"tsg2","tsg2.rsn","The Shinri Game 2: Magical Trip"
"tslip","tslip.rsn","Time Slip"
"tsnb","tsnb.rsn","Tecmo Super NBA Basketball"
"tsp","tsp.rsn","Traverse: Starlight and Prairie"
"tst","tst.rsn","Toy Story"
"tstar","tstar.rsn","Tin Star"
"tstgb","tstgb.rsn","Toy Story (Super Gameboy)"
"tstp","tstp.rsn","Tsuyoshi Shikkarishinasai Taisen Puzzle-Dama"
"tsuta","tsuta.rsn","Tsuri Taro"
"tta","tta.rsn","Tiny Toon Adventures: Buster Busts Loose"
"ttat","ttat.rsn","TinTin au Tibet"
"ttawsc","ttawsc.rsn","Tiny Toon Adventures: Wacky Sports Challenge"
"ttef","ttef.rsn","Thomas the Tank Engine & Friends"
"ttsmf","ttsmf.rsn","The Twisted Tales of Spike McFang"
"ttts","ttts.rsn","TinTin, Les Aventures de: Le Temple du Solei"
"ttx","ttx.rsn","Time Trax"
"tuff","tuff.rsn","Mr. Tuff"
"turr","turr.rsn","Super Turrican"
"turr2","turr2.rsn","Super Turrican 2"
"twa","twa.rsn","Tetsuwan Atom"
"tybo","tybo.rsn","Tadaima Yusya Bosyutyu Okawari"
"u7","u7.rsn","Ultra Seven"
"ubj","ubj.rsn","Ultra Baseball Jitsumeiban"
"ubj2","ubj2.rsn","Ultra Baseball Jitsumeiban 2"
"ubj3","ubj3.rsn","Ultra Baseball Jitsumeiban 3"
"ucc","ucc.rsn","Undercover Cops"
"ukt","ukt.rsn","Ultima: Dinosaur Empire"
"uktb","uktb.rsn","Utyu no Kishi Tekkaman Blade"
"ulmst","ulmst.rsn","Ultra League"
"ult6","ult6.rsn","Ultima 6"
"ult7","ult7.rsn","Ultima 7"
"ultm","ultm.rsn","Ultraman"
"um","um.rsn","Ultraman: Towards the Future"
"umi","umi.rsn","Umihara Kawase"
"umizm","umizm.rsn","Umizuri Meijin"
"unfl","unfl.rsn","Untitled NFL Football Game"
"unir","unir.rsn","Uniracers"
"unt","unt.rsn","The Untouchables"
"urov2","urov2.rsn","Ultima: Runes of Virtue 2"
"us","us.rsn","Urban Strike"
"usol","usol.rsn","Universal Soldier"
"ut","ut.rsn","Ushio and Tora"
"uto","uto.rsn","Utopia"
"uw","uw.rsn","Super Dai Koukai Jidai (Super Unchartered Water)"
"uw2","uw2.rsn","Dai Koukai Jidai 2 (Uncharted Waters: New Horizons)"
"vbart","vbart.rsn","Virtual Bart"
"vbt","vbt.rsn","Volleyball Twin"
"vegas","vegas.rsn","Vegas Stakes"
"vewo","vewo.rsn","Verne World"
"vill","vill.rsn","Kouryuu Densetsu Villgust"
"voh","voh.rsn","Violinist of Hameln"
"vor","vor.rsn","Vortex"
"vsc","vsc.rsn","Vs. Collection"
"vt","vt.rsn","Soukoukihei Votoms: The Battling Road"
"w2410","w2410.rsn","War 2410"
"w2ah","w2ah.rsn","Wings 2 Aces High"
"w3010","w3010.rsn","War 3010"
"waia","waia.rsn","Waialae Country Club"
"wally","wally.rsn","Wally wo Sagase"
"wapa","wapa.rsn","BS Wapaaz Souryu Hen"
"warl","warl.rsn","Warlock"
"warp","warp.rsn","WarpSpeed"
"wawo","wawo.rsn","Waterworld"
"wc","wc.rsn","Wing Commander"
"wc98","wc98.rsn","Wrecking Crew '98"
"wcr","wcr.rsn","World Class Rugby"
"wcu94","wcu94.rsn","World Cup USA '94"
"wcup","wcup.rsn","World Cup '98 (Super Gameboy)"
"wcwsb","wcwsb.rsn","WCW SuperBrawl Wrestling"
"wedp","wedp.rsn","Wedding Peach"
"wesas","wesas.rsn","Winter Extreme: Skiing and Snowboarding"
"wfdx","wfdx.rsn","Wheel of Fortune: Deluxe Edition"
"wgfx","wgfx.rsn","Winter Gold FX"
"wgl","wgl.rsn","Super Wagan Land"
"wgnhl","wgnhl.rsn","Wayne Gretzky and the NHLPA All-Stars"
"wgp","wgp.rsn","Wagyan Paradise"
"wguns","wguns.rsn","Wild Guns"
"wh","wh.rsn","World Heroes"
"wh2","wh2.rsn","World Heroes 2"
"whizz","whizz.rsn","Whizz"
"whrl","whrl.rsn","Whirlo"
"wiz123","wiz123.rsn","Wizardry 1-2-3"
"wiz5","wiz5.rsn","Wizardry 5: Heart of the Maelstrom"
"wiz6","wiz6.rsn","Wizardry VI"
"wizg4","wizg4.rsn","Wizardry Gaiden IV"
"wl","wl.rsn","WeaponLord"
"wls","wls.rsn","World League Soccer"
"wmg","wmg.rsn","World Masters Golf"
"wnrn","wnrn.rsn","Ken Griffey Jr. Winning Run"
"woar","woar.rsn","Wolverine: Adamantium Rage"
"wog","wog.rsn","Winter Olympic Games"
"wolf","wolf.rsn","Wolf Child"
"wom","wom.rsn","World of Manga II"
"wonm","wonm.rsn","Wondrous Magic"
"word","word.rsn","Wordtris"
"worms","worms.rsn","Worms"
"wotg","wotg.rsn","War of the Gems"
"woz","woz.rsn","Wizard of Oz"
"wozz","wozz.rsn","Chou Mahou Tairiku Wozz"
"wpj","wpj.rsn","Wonder Project J"
"wsnk","wsnk.rsn","WildSnake"
"wt","wt.rsn","Stunt Race FX"
"wtoz","wtoz.rsn","Wakataka Oozumou"
"wwfa","wwfa.rsn","WWF Wrestlemania: The Arcade Game"
"wwfr","wwfr.rsn","WWF Raw"
"wwfrr","wwfrr.rsn","WWF Royal Rumble"
"wwfsw","wwfsw.rsn","WWF Super Wrestlemania"
"wws","wws.rsn","Waku Waku Ski Wonder Shoot"
"xak","xak.rsn","Xak: The Art of Visual Stage"
"xband","xband.rsn","XBand Modem"
"xkb","xkb.rsn","X-Kaliber 2097"
"xma","xma.rsn","X-Men: Mutant Apocalypse"
"xmas","xmas.rsn","Christmas Craze"
"xmvsf","xmvsf.rsn","X-Men vs. Street Fighter (Pirate)"
"xrdn","xrdn.rsn","Xardion"
"xz","xz.rsn","X-Zone"
"yaki","yaki.rsn","UFO Kamen Yakisoban"
"yc","yc.rsn","Yoshi's Cookie"
"yi","yi.rsn","Super Mario World 2: Yoshi's Island"
"yjjg","yjjg.rsn","Yuujin Janjuu Gakuen"
"ykb","ykb.rsn","Youkai Buster: Ruka no Daibouken"
"ykc","ykc.rsn","Yakouchuu"
"ym","ym.rsn","Young Merlin"
"ymng","ymng.rsn","Yume Maboroshi no Gotoku"
"ynffg","ynffg.rsn","Yuujin no Furi Furi Girls"
"ynk","ynk.rsn","Yoshi no Kuruppon"
"yogi","yogi.rsn","Yogi Bear"
"yqgg","yqgg.rsn","Yuuyu no Quiz de Go! Go!"
"ys3","ys3.rsn","Ys 3: Wanderers From Ys"
"ys4","ys4.rsn","Ys IV: Mask of the Sun"
"ys5","ys5.rsn","Ys 5"
"ysfr","ysfr.rsn","Yoshi's Safari"
"ytak","ytak.rsn","Yamato Takeru"
"ywd","ywd.rsn","Yadamon Wonderland Dreams"
"yyh","yyh.rsn","Yuu Yuu Hakusho"
"yyh2","yyh2.rsn","Yuu Yuu Hakusho 2"
"yyht","yyht.rsn","Yuu Yuu Hakusho: Tokubetsu-hen"
"z4cr","z4cr.rsn","Zero 4 Champ RR"
"zamn","zamn.rsn","Zombies Ate My Neighbors"
"zan2","zan2.rsn","Zan 2 Spirits"
"zan3","zan3.rsn","Zan 3 Spirits"
"zgd","zgd.rsn","Z-Gundam: Away to the Newtype"
"zgts","zgts.rsn","Zen Nihon GT Sensyuken"
"zico","zico.rsn","Zico Soccer"
"zjsg","zjsg.rsn","Zenkoku Juudan Ultra Shinri Game"
"zks","zks.rsn","Zero the Kamikaze Squirrel"
"zkss","zkss.rsn","'96 Zenkoku Koukou Soccer Senshuken"
"zkss2","zkss2.rsn","Zenkoku Koukou Soccer Senshuken 2"
"zkssh","zkssh.rsn","Zenkoku Koukou Soccer Senshuken"
"zna","zna.rsn","Zakuro no Aji"
"znpw","znpw.rsn","Zennihon Pro Wrestling"
"znpw2","znpw2.rsn","Zennihon Pro Wrestling 2 - 3.4 Budoukan"
"znpwd","znpwd.rsn","Zennihon Pro Wrestling Dash - Sekai Saikyou Tag (Natsume Championship Wrestling)"
"zone","zone.rsn","Zone"
"zool","zool.rsn","Zool"
"zoop","zoop.rsn","Zoop"
"zoot","zoot.rsn","Zootto Mahjong!"
"zzc","zzc.rsn","Zig Zag Cat"
